,Minimum L1 Distance
Bribery_cumulative_arithmetic_mean,7.417833708389665e-13
Manipulation_cumulative_arithmetic_mean,7.545908342621033e-13
Deletion_cumulative_arithmetic_mean,61.981046248753984
Cloning_cumulative_arithmetic_mean,52.593447630094886
Bribery_cumulative_geometric_mean,7.417833708389665e-13
Manipulation_cumulative_geometric_mean,5.607458941625509e-13
Deletion_cumulative_geometric_mean,86.03982585110461
Cloning_cumulative_geometric_mean,52.593447630094886
Bribery_fractional_arithmetic_mean,7.417833708389665e-13
Manipulation_fractional_arithmetic_mean,5.87516146843825e-13
Deletion_fractional_arithmetic_mean,55.69097577579307
Cloning_fractional_arithmetic_mean,56.46120888495841
Bribery_fractional_geometric_mean,7.417833708389665e-13
Manipulation_fractional_geometric_mean,5.87516146843825e-13
Deletion_fractional_geometric_mean,61.981046248753984
Cloning_fractional_geometric_mean,52.59630743314608
Bribery_approval_arithmetic_mean,7.417833708389665e-13
Manipulation_approval_arithmetic_mean,0.0
Deletion_approval_arithmetic_mean,86.03982585110461
Cloning_approval_arithmetic_mean,53.7334413041244
Bribery_approval_geometric_mean,7.417833708389665e-13
Manipulation_approval_geometric_mean,0.0
Deletion_approval_geometric_mean,75.01329882461187
Cloning_approval_geometric_mean,51.80523654582779
