,Minimum L1 Distance
Bribery_cumulative_arithmetic_mean,7.424833317615231e-13
Manipulation_cumulative_arithmetic_mean,5.274530812116041e-13
Deletion_cumulative_arithmetic_mean,54.699034596076025
Cloning_cumulative_arithmetic_mean,54.81329358692595
Bribery_cumulative_geometric_mean,7.424833317615231e-13
Manipulation_cumulative_geometric_mean,6.914885330999709e-13
Deletion_cumulative_geometric_mean,52.059495537515986
Cloning_cumulative_geometric_mean,62.26169584883587
Bribery_fractional_arithmetic_mean,7.424833317615231e-13
Manipulation_fractional_arithmetic_mean,5.606071162844728e-13
Deletion_fractional_arithmetic_mean,62.06738300768376
Cloning_fractional_arithmetic_mean,62.26169584883587
Bribery_fractional_geometric_mean,7.424833317615231e-13
Manipulation_fractional_geometric_mean,6.381006834033087e-13
Deletion_fractional_geometric_mean,52.850999740262885
Cloning_fractional_geometric_mean,62.26169584883587
Bribery_approval_arithmetic_mean,7.424833317615231e-13
Manipulation_approval_arithmetic_mean,0.0
Deletion_approval_arithmetic_mean,52.059495537515986
Cloning_approval_arithmetic_mean,70.29447567751829
Bribery_approval_geometric_mean,7.424833317615231e-13
Manipulation_approval_geometric_mean,0.0
Deletion_approval_geometric_mean,54.699034596076025
Cloning_approval_geometric_mean,69.47191745242893
