,Minimum L1 Distance
Bribery_cumulative_arithmetic_mean,6.93728928469195e-13
Manipulation_cumulative_arithmetic_mean,5.33663391255601e-13
Deletion_cumulative_arithmetic_mean,66.9038372091061
Cloning_cumulative_arithmetic_mean,57.11639518736615
Bribery_cumulative_geometric_mean,6.93728928469195e-13
Manipulation_cumulative_geometric_mean,6.038757557797733e-13
Deletion_cumulative_geometric_mean,63.009222965568874
Cloning_cumulative_geometric_mean,70.05306173958164
Bribery_fractional_arithmetic_mean,6.93728928469195e-13
Manipulation_fractional_arithmetic_mean,4.296910049994551e-13
Deletion_fractional_arithmetic_mean,66.9038372091061
Cloning_fractional_arithmetic_mean,57.183507491752685
Bribery_fractional_geometric_mean,6.93728928469195e-13
Manipulation_fractional_geometric_mean,5.606348718600884e-13
Deletion_fractional_geometric_mean,57.11639518736615
Cloning_fractional_geometric_mean,59.533392323258596
Bribery_approval_arithmetic_mean,6.93728928469195e-13
Manipulation_approval_arithmetic_mean,0.0
Deletion_approval_arithmetic_mean,66.9038372091061
Cloning_approval_arithmetic_mean,68.90945360742198
Bribery_approval_geometric_mean,6.93728928469195e-13
Manipulation_approval_geometric_mean,0.0
Deletion_approval_geometric_mean,76.82045093117921
Cloning_approval_geometric_mean,70.05306173958164
