,Minimum L1 Distance
Bribery_cumulative_arithmetic_mean,5.057308738454225e-13
Manipulation_cumulative_arithmetic_mean,5.673378433712628e-13
Deletion_cumulative_arithmetic_mean,55.03741149033933
Cloning_cumulative_arithmetic_mean,56.82680810378592
Bribery_cumulative_geometric_mean,5.057308738454225e-13
Manipulation_cumulative_geometric_mean,4.866246294810139e-13
Deletion_cumulative_geometric_mean,61.65407068912623
Cloning_cumulative_geometric_mean,73.59404097609146
Bribery_fractional_arithmetic_mean,5.057308738454225e-13
Manipulation_fractional_arithmetic_mean,5.552641679784642e-13
Deletion_fractional_arithmetic_mean,67.44369027535242
Cloning_fractional_arithmetic_mean,56.82680810378592
Bribery_fractional_geometric_mean,5.057308738454225e-13
Manipulation_fractional_geometric_mean,5.777704703557873e-13
Deletion_fractional_geometric_mean,59.749252766424405
Cloning_fractional_geometric_mean,69.31543341064705
Bribery_approval_arithmetic_mean,5.057308738454225e-13
Manipulation_approval_arithmetic_mean,0.0
Deletion_approval_arithmetic_mean,55.03741149033933
Cloning_approval_arithmetic_mean,54.38586029329285
Bribery_approval_geometric_mean,5.057308738454225e-13
Manipulation_approval_geometric_mean,0.0
Deletion_approval_geometric_mean,64.67961236013602
Cloning_approval_geometric_mean,53.68269973485988
